Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-96,-76,-75,-87,-33,-33,-18,-28,-45,-49,-84,-107,-61,***,***,-65,-26,-60,-61,-61,-28,-73,-24,-28,-127,-85,-51,-18,-33,-26,3,*****
1881,-67,-76,-37,-28,-27,-81,-36,-15,-29,-66,-63,-59,-49,-53,-83,-30,-44,-53,-49,-49,-37,-56,-22,-42,-115,-76,-23,-18,-21,-37,-24,*****
1882,21,16,-16,-67,-62,-57,-53,-21,-38,-86,-95,-115,-48,-43,-07,-48,-44,-73,-48,-48,-24,-58,-10,-29,-159,-53,-35,-6,-12,-25,-10,*****
1883,-117,-126,-61,-59,-63,-30,-24,-44,-52,-48,-87,-73,-65,-69,-119,-61,-33,-62,-65,-65,-9,-76,-18,-13,-39,-106,-61,-20,-1,-14,27,*****
1884,-80,-69,-125,-117,-87,-88,-66,-76,-79,-74,-89,-80,-86,-85,-74,-110,-76,-81,-86,-86,-41,-97,-45,-43,-138,-108,-76,-43,-42,-28,-65,*****
1885,-175,-61,-58,-80,-86,-63,-37,-55,-51,-76,-59,-10,-68,-73,-105,-75,-52,-62,-68,-68,-36,-79,-24,-38,-143,-85,-55,-17,-34,-29,-42,*****
1886,-148,-126,-101,-52,-52,-59,-08,-41,-36,-48,-77,-35,-65,-63,-95,-68,-36,-53,-65,-65,-55,-72,-49,-49,-132,-68,-59,-37,-77,-40,-47,*****
1887,-168,-113,-68,-79,-33,-32,-11,-64,-29,-67,-52,-96,-68,-62,-105,-60,-36,-49,-68,-68,-63,-75,-54,-55,-169,-86,-40,-40,-86,-54,-23,*****
1888,-127,-128,-119,-57,-59,-44,-21,-41,-37,-36,-36,-76,-65,-67,-117,-78,-35,-37,-65,-65,-36,-78,-22,-38,-161,-96,-38,-14,-33,-10,-81,*****
1889,-95,02,-10,28,04,-10,-14,-22,-40,-56,-95,-78,-32,-32,-56,07,-16,-64,-32,-32,-16,-43,10,-32,-77,-48,-28,11,14,-15,-49,*****
1890,-94,-67,-69,-51,-72,-29,-15,-26,-20,-05,-87,-62,-50,-51,-80,-64,-23,-37,-50,-50,-62,-56,-52,-45,-117,-77,-20,-28,-88,-47,-17,*****
1891,-94,-117,-36,-58,-45,-32,-25,-20,-07,-50,-95,05,-48,-53,-91,-47,-25,-51,-48,-48,-71,-59,-48,-48,-134,-51,-43,-11,-101,-40,-45,*****
1892,-85,-36,-98,-80,-48,03,-32,-29,-06,-16,-104,-92,-52,-44,-39,-76,-20,-42,-52,-52,-54,-62,-38,-48,-149,-75,-25,-21,-57,-46,-29,*****
1893,-237,-139,-35,-33,-54,-15,02,-15,-14,-05,-21,-76,-53,-55,-156,-41,-09,-13,-53,-53,-57,-60,-52,-38,-103,-66,-41,-31,-75,-53,22,*****
1894,-116,-69,-08,-63,-42,-35,-07,-10,-26,-29,-73,-43,-43,-46,-87,-38,-17,-43,-43,-43,-47,-50,-43,-26,-125,-53,-22,-22,-66,-36,19,*****
1895,-124,-132,-56,-25,-26,-21,-15,-21,13,-22,-11,-42,-40,-40,-100,-36,-19,-07,-40,-40,-34,-51,-25,-23,-94,-61,-26,-9,-44,-23,-3,*****
1896,-69,-44,-91,-90,-36,14,08,-19,-07,07,-59,-58,-37,-36,-52,-72,01,-20,-37,-37,-35,-53,-21,-11,-122,-69,-16,11,-56,-8,3,*****
1897,-57,-52,-67,-15,12,-09,06,01,-07,-17,-27,-31,-22,-24,-55,-23,-01,-17,-22,-22,-23,-36,4,-31,-77,-38,-20,19,-13,-17,-43,*****
1898,03,-63,-101,-29,-42,-06,-10,08,-03,-32,-58,-30,-30,-30,-30,-57,-03,-31,-30,-30,-48,-38,-28,-43,-121,-32,-13,-8,-51,-30,-51,*****
1899,-14,-86,-54,-07,-20,-26,01,07,08,14,56,-65,-15,-12,-43,-27,-06,26,-15,-15,-51,-24,-26,-35,-113,-18,2,10,-66,-22,-42,*****
1900,-86,-13,18,-23,-04,-09,-13,05,03,30,-15,01,-09,-14,-55,-03,-06,06,-9,-9,-23,-17,1,-30,-67,-15,0,15,-15,-15,-45,*****
1901,-55,-01,40,26,-15,12,22,00,-13,-20,-31,-47,-07,-03,-18,17,11,-22,-7,-7,-22,-12,-9,-15,-54,4,-11,9,-29,-13,4,*****
