Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-29,-18,-11,-19,-11,-23,-20,-9,-15,-23,-19,-22,-18,***,***,-14,-17,-19,-40,-61,-28,-73,-24,-28,-127,-85,-51,-18,-33,-26,3,*****
1881,-15,-17,4,4,2,-20,-6,-2,-13,-21,-21,-11,-10,-11,-18,3,-9,-19,-37,-49,-37,-56,-22,-42,-115,-76,-23,-18,-21,-37,-24,*****
1882,14,15,4,-19,-16,-26,-21,-5,-10,-25,-16,-24,-11,-10,6,-10,-17,-17,-30,-48,-24,-58,-10,-29,-159,-53,-35,-6,-12,-25,-10,*****
1883,-31,-39,-13,-17,-20,-12,-8,-15,-20,-14,-22,-16,-19,-20,-32,-16,-12,-19,-31,-65,-9,-76,-18,-13,-39,-106,-61,-20,-1,-14,27,*****
1884,-15,-8,-37,-42,-36,-40,-34,-26,-27,-24,-29,-28,-29,-28,-13,-38,-34,-27,-59,-86,-41,-97,-45,-43,-138,-108,-76,-43,-42,-28,-65,*****
1885,-59,-30,-25,-42,-42,-44,-35,-31,-23,-19,-19,-5,-31,-33,-39,-36,-37,-21,-45,-68,-36,-79,-24,-38,-143,-85,-55,-17,-34,-29,-42,*****
1886,-42,-45,-38,-28,-26,-39,-22,-33,-25,-28,-31,-26,-32,-30,-31,-31,-31,-28,-59,-65,-55,-72,-49,-49,-132,-68,-59,-37,-77,-40,-47,*****
1887,-72,-52,-33,-38,-32,-23,-23,-31,-22,-32,-23,-33,-34,-34,-50,-34,-26,-26,-65,-68,-63,-75,-54,-55,-169,-86,-40,-40,-86,-54,-23,*****
1888,-37,-35,-41,-22,-21,-18,-9,-15,-9,2,1,-6,-17,-20,-35,-28,-14,-2,-44,-65,-36,-78,-22,-38,-161,-96,-38,-14,-33,-10,-81,*****
1889,-11,19,8,8,-2,-13,-9,-19,-21,-22,-33,-29,-10,-8,1,5,-14,-25,-17,-32,-16,-43,10,-32,-77,-48,-28,11,14,-15,-49,*****
1890,-44,-45,-39,-36,-45,-26,-26,-37,-39,-24,-47,-31,-37,-36,-39,-40,-30,-37,-53,-50,-62,-56,-52,-45,-117,-77,-20,-28,-88,-47,-17,*****
1891,-41,-47,-19,-28,-18,-20,-20,-16,-13,-21,-34,-4,-23,-26,-40,-22,-19,-23,-55,-48,-71,-59,-48,-48,-134,-51,-43,-11,-101,-40,-45,*****
1892,-28,-11,-35,-34,-24,-22,-32,-24,-12,-12,-41,-39,-26,-23,-15,-31,-26,-22,-49,-52,-54,-62,-38,-48,-149,-75,-25,-21,-57,-46,-29,*****
1893,-79,-54,-23,-29,-35,-27,-15,-26,-20,-16,-16,-34,-31,-32,-57,-29,-23,-17,-51,-53,-57,-60,-52,-38,-103,-66,-41,-31,-75,-53,22,*****
1894,-53,-33,-25,-47,-35,-44,-26,-22,-24,-20,-25,-19,-31,-32,-40,-36,-30,-23,-41,-43,-47,-50,-43,-26,-125,-53,-22,-22,-66,-36,19,*****
1895,-44,-41,-28,-24,-26,-23,-17,-15,-8,-8,-14,-15,-22,-22,-35,-26,-18,-10,-33,-40,-34,-51,-25,-23,-94,-61,-26,-9,-44,-23,-3,*****
1896,-25,-14,-25,-30,-18,-14,-3,-3,-3,12,-7,-3,-11,-12,-18,-24,-7,1,-28,-37,-35,-53,-21,-11,-122,-69,-16,11,-56,-8,3,*****
1897,-14,-14,-13,-2,-5,-16,-7,-10,-7,-12,-19,-19,-12,-10,-10,-7,-11,-13,-19,-22,-23,-36,4,-31,-77,-38,-20,19,-13,-17,-43,*****
1898,-3,-29,-51,-33,-32,-20,-24,-25,-21,-33,-38,-25,-28,-27,-17,-38,-23,-30,-36,-30,-48,-38,-28,-43,-121,-32,-13,-8,-51,-30,-51,*****
1899,-19,-40,-34,-20,-23,-33,-17,-6,-2,-5,12,-28,-18,-18,-28,-26,-19,2,-29,-15,-51,-24,-26,-35,-113,-18,2,10,-66,-22,-42,*****
1900,-37,-2,2,-12,-10,-12,-12,-10,-4,9,-9,-7,-9,-11,-22,-7,-11,-1,-14,-9,-23,-17,1,-30,-67,-15,0,15,-15,-15,-45,*****
1901,-23,-3,8,-3,-16,-12,-15,-20,-22,-31,-17,-28,-15,-13,-11,-4,-16,-23,-12,-7,-22,-12,-9,-15,-54,4,-11,9,-29,-13,4,*****
1902,-20,-4,-29,-31,-36,-35,-29,-33,-29,-31,-39,-46,-30,-29,-17,-32,-32,-33,-34,-43,-34,-62,-4,-46,-173,-66,-18,11,-20,-28,-69,*****
1903,-26,-5,-23,-43,-45,-46,-38,-48,-48,-48,-45,-53,-39,-38,-25,-37,-44,-47,-40,-35,-49,-45,-24,-57,-57,-37,-48,-7,-41,-50,-47,-135
1904,-68,-59,-51,-54,-55,-51,-53,-50,-52,-40,-21,-35,-49,-51,-60,-53,-51,-38,-52,-43,-64,-45,-57,-50,-41,-47,-44,-38,-77,-39,-45,-172
1905,-40,-59,-22,-36,-33,-30,-29,-22,-18,-25,-10,-18,-29,-30,-44,-30,-27,-18,-34,-30,-39,-37,-21,-47,-26,-23,-52,-14,-28,-41,-39,-90
1906,-28,-30,-16,-4,-24,-21,-25,-20,-27,-19,-38,-16,-22,-22,-25,-15,-22,-28,-22,-16,-29,-21,-15,-33,-45,-6,-26,-6,-25,-21,-35,-95
1907,-41,-51,-27,-38,-47,-43,-36,-35,-33,-24,-48,-48,-39,-37,-36,-37,-38,-35,-52,-55,-54,-68,-41,-49,-80,-88,-47,-27,-58,-46,-28,-129
1908,-43,-30,-53,-45,-41,-41,-39,-46,-35,-44,-49,-49,-43,-43,-40,-46,-42,-43,-37,-33,-46,-40,-36,-35,-51,-46,-31,-18,-56,-50,11,69
1909,-68,-47,-51,-60,-56,-52,-44,-30,-35,-36,-30,-55,-47,-46,-54,-55,-42,-34,-39,-35,-46,-46,-27,-45,-87,-51,-27,-11,-46,-51,-11,-81
1910,-44,-44,-50,-40,-34,-37,-34,-35,-36,-38,-53,-66,-43,-42,-47,-41,-35,-42,-32,-31,-35,-34,-35,-24,-79,-19,-30,-26,-44,-26,-4,30
1911,-63,-58,-60,-53,-51,-47,-41,-41,-37,-23,-18,-22,-43,-47,-62,-55,-43,-26,-35,-30,-42,-33,-35,-38,-37,-33,-31,-25,-46,-39,-15,-16
1912,-26,-12,-35,-20,-22,-26,-44,-54,-51,-56,-38,-43,-35,-34,-20,-25,-41,-48,-33,-47,-23,-61,-16,-28,-75,-69,-50,-15,-16,-6,-45,-214
1913,-41,-43,-43,-39,-47,-48,-36,-33,-35,-33,-18,-3,-35,-38,-42,-43,-39,-29,-33,-39,-27,-39,-38,-22,-70,-26,-37,-41,-33,-2,-38,-136
1914,4,-11,-22,-29,-23,-26,-24,-14,-13,-4,-17,-8,-15,-15,-3,-24,-22,-11,-8,-13,-5,-17,-10,4,-65,-6,-8,-7,-13,14,3,-33
