Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-46,9,-24,-43,-24,-51,-64,48,-36,-89,-14,6,-28,***,***,-31,-22,-47,-28,-61,-28,-73,-24,-28,-127,-85,-51,-18,-33,-26,3,*****
1881,-94,-41,-27,-14,11,-133,-51,-11,-30,-33,-53,32,-37,-39,-43,-10,-65,-39,-37,-49,-37,-56,-22,-42,-115,-76,-23,-18,-21,-37,-24,*****
1882,15,-27,-6,-61,-20,-125,-74,6,25,22,4,-49,-24,-17,7,-29,-64,17,-24,-48,-24,-58,-10,-29,-159,-53,-35,-6,-12,-25,-10,*****
1883,-53,-78,-38,-5,2,114,27,30,-19,-59,-52,21,-9,-15,-60,-14,57,-43,-9,-65,-9,-76,-18,-13,-39,-106,-61,-20,-1,-14,27,*****
1884,-37,-3,28,-70,-146,-75,-88,115,7,-68,-50,-109,-41,-30,-6,-63,-16,-37,-41,-86,-41,-97,-45,-43,-138,-108,-76,-43,-42,-28,-65,*****
1885,-43,-86,-105,-91,-23,-107,-79,15,11,62,-8,20,-36,-47,-79,-73,-57,22,-36,-68,-36,-79,-24,-38,-143,-85,-55,-17,-34,-29,-42,*****
1886,-16,-48,-37,-53,-47,-90,-52,-81,-27,-121,-7,-81,-55,-47,-15,-46,-75,-51,-55,-65,-55,-72,-49,-49,-132,-68,-59,-37,-77,-40,-47,*****
1887,-13,-131,-39,-73,-126,-78,-55,21,-87,-35,-116,-25,-63,-68,-75,-79,-37,-79,-63,-68,-63,-75,-54,-55,-169,-86,-40,-40,-86,-54,-23,*****
1888,-20,-50,-78,-15,-98,-68,-42,-27,-46,-27,17,23,-36,-40,-32,-64,-46,-18,-36,-65,-36,-78,-22,-38,-161,-96,-38,-14,-33,-10,-81,*****
1889,12,29,7,-7,7,-44,-66,-94,-32,8,0,-8,-16,-13,21,2,-68,-8,-16,-32,-16,-43,10,-32,-77,-48,-28,11,14,-15,-49,*****
1890,-49,-74,-53,-43,-105,-71,-87,-76,-39,-36,-68,-46,-62,-59,-44,-67,-78,-48,-62,-50,-62,-56,-52,-45,-117,-77,-20,-28,-88,-47,-17,*****
1891,-99,-104,-63,-78,-51,-83,-118,-92,-84,-62,-29,5,-71,-76,-83,-64,-98,-58,-71,-48,-71,-59,-48,-48,-134,-51,-43,-11,-101,-40,-45,*****
1892,-54,-33,-34,-69,-88,-97,-45,-12,-82,-49,-39,-41,-54,-50,-27,-64,-51,-56,-54,-52,-54,-62,-38,-48,-149,-75,-25,-21,-57,-46,-29,*****
1893,-94,-82,-74,-92,-88,-113,-25,-55,-37,-5,-12,-11,-57,-60,-72,-85,-64,-18,-57,-53,-57,-60,-52,-38,-103,-66,-41,-31,-75,-53,22,*****
1894,-58,-62,-62,-68,-94,-74,-69,-50,-58,3,25,-2,-47,-48,-44,-75,-64,-10,-47,-43,-47,-50,-43,-26,-125,-53,-22,-22,-66,-36,19,*****
1895,-33,-43,-47,-57,-28,-42,-84,-19,-40,0,-25,17,-34,-35,-26,-44,-49,-22,-34,-40,-34,-51,-25,-23,-94,-61,-26,-9,-44,-23,-3,*****
1896,3,-24,-31,-25,-55,-100,-55,-61,-18,-8,-47,6,-35,-34,-1,-37,-72,-24,-35,-37,-35,-53,-21,-11,-122,-69,-16,11,-56,-8,3,*****
1897,-7,-51,-9,-11,-59,-23,-21,-53,-20,-26,23,-16,-23,-21,-17,-26,-32,-8,-23,-22,-23,-36,4,-31,-77,-38,-20,19,-13,-17,-43,*****
1898,-21,-39,-71,-85,-91,-53,-59,-48,0,-48,-42,-17,-48,-48,-25,-82,-53,-30,-48,-30,-48,-38,-28,-43,-121,-32,-13,-8,-51,-30,-51,*****
1899,-66,-47,-38,-43,-70,-84,-67,-70,-18,-67,-44,1,-51,-53,-44,-50,-74,-43,-51,-15,-51,-24,-26,-35,-113,-18,2,10,-66,-22,-42,*****
1900,-37,-1,-50,-17,-28,-12,-54,-34,-17,7,-14,-20,-23,-21,-12,-32,-34,-8,-23,-9,-23,-17,1,-30,-67,-15,0,15,-15,-15,-45,*****
1901,-4,-22,-56,-40,-26,-7,-66,-39,14,-18,2,-5,-22,-24,-15,-40,-37,-1,-22,-7,-22,-12,-9,-15,-54,4,-11,9,-29,-13,4,*****
1902,-43,-18,-7,1,-18,-27,-49,-75,-50,-47,-39,-33,-34,-31,-22,-8,-51,-46,-34,-43,-34,-62,-4,-46,-173,-66,-18,11,-20,-28,-69,*****
1903,-38,-47,-37,-64,-41,-72,-29,-37,-49,-58,-58,-60,-49,-47,-39,-47,-46,-55,-49,-35,-49,-45,-24,-57,-57,-37,-48,-7,-41,-50,-47,-135
1904,-65,-88,-78,-44,-82,-60,-72,-65,-47,-74,-41,-52,-64,-65,-71,-68,-66,-54,-64,-43,-64,-45,-57,-50,-41,-47,-44,-38,-77,-39,-45,-172
1905,-45,-79,-31,-22,-39,-35,-67,-32,-30,-40,-25,-20,-39,-41,-59,-31,-45,-32,-39,-30,-39,-37,-21,-47,-26,-23,-52,-14,-28,-41,-39,-90
1906,24,6,-35,1,-26,-45,-28,-36,-57,-39,-61,-57,-29,-26,4,-20,-36,-52,-29,-16,-29,-21,-15,-33,-45,-6,-26,-6,-25,-21,-35,-95
1907,-46,-33,-53,-47,-46,-68,-48,-70,-55,-51,-55,-73,-54,-52,-45,-49,-62,-54,-54,-55,-54,-68,-41,-49,-80,-88,-47,-27,-58,-46,-28,-129
1908,-32,-45,-44,-60,-44,-72,-59,-36,-21,-49,-50,-35,-46,-49,-50,-49,-56,-40,-46,-33,-46,-40,-36,-35,-51,-46,-31,-18,-56,-50,11,69
1909,-65,-71,-45,-65,-70,-48,-43,-12,-25,-22,-42,-46,-46,-45,-57,-60,-34,-30,-46,-35,-46,-46,-27,-45,-87,-51,-27,-11,-46,-51,-11,-81
1910,-44,-39,-59,-38,-23,-36,-26,-5,4,-51,-55,-43,-35,-35,-43,-40,-22,-34,-35,-31,-35,-34,-35,-24,-79,-19,-30,-26,-44,-26,-4,30
